User1: john.doe@example.com
User2: ALICE@GMAIL.COM
User3: invalid_email
User4: bob@test.example.com
User5: support@company.org
User6: MY-NAME@sub.domain.CO.UK
User7: admin@localhost
User8: first.last@example.co
User9: contact@example.com
User10: info@my-site.com
User11: totally.invalid@
User12: UPPERCASE@DOMAIN.COM
User13: mixed.Case@Example.Com
User14: valid+tag@gmail.com
User15: test@example.com
User16: 123@numbers.net
User17: @missinglocalpart.com
User18: spaces in@email.com
User19: "quotes"@example.org
User20: backup@mail.example.com
User21: double@@domain.com
User22: .starting.dot@domain.com
User23: ending.dot.@domain.com
User24: consecutive..dots@domain.com
User25: spaces\ in\ local@domain.com
User26: special#char$ters@domain.com
User27: domain@.starting.dot
User28: domain@ending.dot.
User29: domain@consecutive..dots.com
User30: ip.address@[192.168.1.1]
User31: quoted"string"@domain.com
User32: domain@toolongtld.abcdefgh
User33: missingdot@domaincom
User34: domain@-starting.hyphen.com
User35: domain@ending-.hyphen.com
User36: domain@hyphen-in-middle.com
User37: a@b.c
User38: a@b
User39: a@b.c.d.e.f.g
User40: root@localhost
User41: postmaster@[IPv6:2001:db8::1]
User42: email@domain.web
User43: email@domain.travelers
User44: <brackets@domain.com>
User45: (parentheses)@domain.com
User46: ,commas,@domain.com
User47: :colons:@domain.com
User48: ;semicolons;@domain.com
User49: @#$%^&*@domain.com
User50: email@domain-with-dash.com
